"","Site_Gear_Season","Samples_to_90pct"
"1","Arnold Slough_BEASEI_Fall",3
"2","Arnold Slough_BEASEI_Spring",4
"3","Arnold Slough_LAMOPE_Fall",10
"4","Arnold Slough_LAMOPE_Spring",11
"5","Arnold Slough_LAMOPE_Winter",7
"6","Blacklock Marsh_LAMOPE_Fall",5
"7","Blacklock Marsh_LAMOPE_Spring",8
"8","Blacklock Marsh_LAMOPE_Winter",5
"9","Bradmoor Island_BEASEI_Fall",4
"10","Bradmoor Island_BEASEI_Spring",8
"11","Bradmoor Island_BEASEI_Winter",4
"12","Bradmoor Island_LAMOPE_Fall",5
"13","Bradmoor Island_LAMOPE_Spring",4
"14","Bradmoor Island_LAMOPE_Winter",4
"15","Broad Slough_LAMOPE_Fall",5
"16","Broad Slough_LAMOPE_Spring",6
"17","Broad Slough_LAMOPE_Winter",8
"18","Broad Slough_OTTTRA_Fall",5
"19","Broad Slough_OTTTRA_Summer",3
"20","Browns Island_LAMOPE_Fall",8
"21","Browns Island_LAMOPE_Spring",12
"22","Browns Island_LAMOPE_Winter",8
"23","Browns Island_OTTTRA_Fall",5
"24","Browns Island_OTTTRA_Summer",3
"25","Chipps Island_LAMOPE_Fall",7
"26","Chipps Island_LAMOPE_Spring",9
"27","Chipps Island_LAMOPE_Winter",7
"28","Chipps Island_OTTTRA_Fall",4
"29","Chipps Island_OTTTRA_Summer",5
"30","Decker Island_LAMOPE_Fall",3
"31","Decker Island_LAMOPE_Spring",3
"32","Decker Island_LAMOPE_Winter",4
"33","Grizzly Bay_BIGLAM_Spring",3
"34","Grizzly Bay_LAMOPE_Fall",6
"35","Grizzly Bay_LAMOPE_Spring",6
"36","Grizzly Bay_LAMOPE_Winter",6
"37","Grizzly Bay_OTTTRA_Fall",5
"38","Grizzly Bay_OTTTRA_Summer",4
"39","Honker-Spoonbill_LAMOPE_Fall",7
"40","Honker-Spoonbill_LAMOPE_Spring",9
"41","Honker-Spoonbill_LAMOPE_Winter",9
"42","Honker-Spoonbill_OTTTRA_Fall",5
"43","Honker-Spoonbill_OTTTRA_Summer",4
"44","Horseshoe Bend_BEASEI_Fall",6
"45","Horseshoe Bend_BEASEI_Spring",7
"46","Horseshoe Bend_BEASEI_Winter",7
"47","Horseshoe Bend_LAMOPE_Fall",7
"48","Horseshoe Bend_LAMOPE_Spring",4
"49","Horseshoe Bend_LAMOPE_Winter",7
"50","Horseshoe Bend_OTTTRA_Fall",4
"51","Horseshoe Bend_OTTTRA_Summer",5
"52","Liberty Island_BEASEI_Fall",2
"53","Liberty Island_BEASEI_Spring",6
"54","Liberty Island_BIGLAM_Fall",3
"55","Liberty Island_LAMOPE_Fall",6
"56","Liberty Island_LAMOPE_Spring",9
"57","Liberty Island_LAMOPE_Winter",7
"58","Lower Yolo Ranch_LAMOPE_Fall",9
"59","Lower Yolo Ranch_LAMOPE_Spring",12
"60","Lower Yolo Ranch_LAMOPE_Winter",7
"61","Nurse-Denverton_LAMOPE_Fall",8
"62","Nurse-Denverton_LAMOPE_Spring",14
"63","Nurse-Denverton_LAMOPE_Winter",6
"64","Peytonia-Suisun_LAMOPE_Fall",9
"65","Peytonia-Suisun_LAMOPE_Spring",10
"66","Peytonia-Suisun_LAMOPE_Winter",6
"67","Ryer Island_LAMOPE_Fall",7
"68","Ryer Island_LAMOPE_Spring",9
"69","Ryer Island_LAMOPE_Winter",9
"70","Ryer Island_OTTTRA_Fall",4
"71","Ryer Island_OTTTRA_Summer",4
"72","Stairsteps-Liberty Cut_LAMOPE_Fall",7
"73","Stairsteps-Liberty Cut_LAMOPE_Spring",9
"74","Stairsteps-Liberty Cut_LAMOPE_Winter",5
"75","Tule Red_BEASEI_Fall",3
"76","Tule Red_BEASEI_Spring",3
"77","Tule Red_BEASEI_Winter",4
"78","Tule Red_BIGLAM_Spring",3
"79","Tule Red_LAMOPE_Fall",7
"80","Tule Red_LAMOPE_Spring",11
"81","Tule Red_LAMOPE_Winter",9
"82","Tule Red_OTTTRA_Fall",6
"83","Tule Red_OTTTRA_Spring",6
"84","Tule Red_OTTTRA_Summer",4
"85","Webb Tract Islands and Berms_LAMOPE_Fall",4
"86","Webb Tract Islands and Berms_LAMOPE_Spring",3
"87","Webb Tract Islands and Berms_LAMOPE_Winter",6
"88","Webb Tract Islands and Berms_OTTTRA_Fall",2
"89","Webb Tract Islands and Berms_OTTTRA_Summer",4
"90","Wings Landing_BEASEI_Spring",2
"91","Wings Landing_LAMOPE_Fall",8
"92","Wings Landing_LAMOPE_Spring",7
"93","Wings Landing_LAMOPE_Winter",9
"94","Winter Island_LAMOPE_Fall",7
"95","Winter Island_LAMOPE_Spring",7
"96","Winter Island_LAMOPE_Winter",7
"97","Winter Island_OTTTRA_Fall",4
"98","Yolo Flyway Farms_LAMOPE_Fall",7
"99","Yolo Flyway Farms_LAMOPE_Spring",10
"100","Yolo Flyway Farms_LAMOPE_Winter",4
